Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,K,720,1001,688,714,0.19264,63,147
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,L,670,1001,612,714,0.1268064,32,76
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,M,996,1001,948,714,0.252168,59,145
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,N,808,1001,760,723,0.1788503529411765,52,124
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,O,850,1001,746,738,0.19215204705882355,13,39
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,P,615,1001,576,714,0.16289279999999998,34,84
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,Q,850,1001,1103,951,0.25513717367841443,25,71
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,R,715,1001,680,714,0.203728,48,122
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,S,552,1001,452,738,0.13866296470588235,34,96
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,T,722,1001,720,753,0.14470065852023578,38,92
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,U,745,1001,726,726,0.15708931764705883,41,101
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,V,720,1001,724,731,0.13490533333333332,37,91
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,W,1056,1001,1078,731,0.24722133333333332,52,118
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,X,702,1001,724,714,0.1601488,56,136
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,Y,700,1001,712,714,0.1375584,44,104
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,Z,704,1001,662,730,0.1612882506003549,28,72
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,a,443,1001,410,441,0.08938070888701478,30,78
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,b,519,1001,486,735,0.13307823529411766,28,70
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Lower,c,418,1001,379,441,0.06828129067370146,16,46
